Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
1.0;117146518514;2003;Não Declarada;8.0;14;Feminino;Urbana;0;0;1;5.0;3.0;92.0
0.0;116669594568;2004;Parda;8.0;13;Feminino;Urbana;0;0;1;5.0;1.0;94.0
2.0;117056955400;2003;Parda;7.0;14;Masculino;Urbana;0;0;1;6.0;9.0;85.0
2.0;120922183014;2003;Parda;7.0;14;Masculino;Urbana;1;0;0;6.0;9.0;85.0
3.0;122801160309;2003;Parda;6.0;14;Masculino;Urbana;0;0;1;8.0;21.0;70.0
3.0;122903578639;2002;Preta;7.0;15;Masculino;Urbana;0;1;0;6.0;19.0;76.0
3.0;115506481950;2001;Não Declarada;8.0;16;Masculino;Urbana;0;0;1;4.0;17.0;80.0
1.0;121550483519;2003;Não Declarada;8.0;14;Masculino;Urbana;1;0;0;5.0;3.0;92.0
2.0;117110856932;2002;Parda;8.0;15;Feminino;Urbana;0;0;1;4.0;7.0;89.0
1.0;116700798301;2003;Não Declarada;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
1.0;123614842265;2003;Não Declarada;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
0.0;123213303924;2004;Branco;8.0;13;Feminino;Urbana;0;0;1;5.0;1.0;94.0
0.0;116752711436;2004;Branco;8.0;13;Masculino;Urbana;0;0;1;5.0;1.0;94.0
1.0;116647091776;2003;Parda;8.0;14;Feminino;Urbana;0;0;1;5.0;3.0;92.0
1.0;116650776709;2003;Parda;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
1.0;116549387000;2003;Preta;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
1.0;121862655080;2003;Preta;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
1.0;116777867952;2003;Branco;8.0;14;Masculino;Urbana;0;0;1;5.0;3.0;92.0
0.0;123847404406;2009;Parda;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
3.0;123017800155;2006;Parda;3.0;11;Masculino;Urbana;0;1;0;27.0;31.0;42.0
1.0;122381630936;2008;Parda;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
